"Grupo","Grupo(RAW)","Aparato","Aparato(RAW)","Sensor","Sensor(RAW)","Estado","Estado(RAW)"
"cableop Kamailio","cableop Kamailio","VELEZ_215026","VELEZ_215026","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TECAVICAS_215020","TECAVICAS_215020","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","SONIMAR_216144","SONIMAR_216144","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TECAVICAS_215020_1","TECAVICAS_215020_1","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","OPERADOR_MY_TV_215047","OPERADOR_MY_TV_215047","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","MARCHENA_215013","MARCHENA_215013","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TEBA_215048","TEBA_215048","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","A2Z_Telecomunicaciones_(Polaris)_215016","A2Z_Telecomunicaciones_(Polaris)_215016","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","VEO_TV_215046","VEO_TV_215046","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","HEADLAND_INVESTMENTS_318006","HEADLAND_INVESTMENTS_318006","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","Teleporte_888888","Teleporte_888888","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","SANPEDRO_215063_1","SANPEDRO_215063_1","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","LA_RODA_216110","LA_RODA_216110","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","SANPEDRO_215063","SANPEDRO_215063","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","REDVISION_228000","REDVISION_228000","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","DONJIMENO_215066","DONJIMENO_215066","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TELEPORTE_215069","TELEPORTE_215069","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TELEPORTE_215069_1","TELEPORTE_215069_1","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TELEPORTE_215069_2","TELEPORTE_215069_2","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","UTRERA_280000_2","UTRERA_280000_2","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","ROCIANA_249999","ROCIANA_249999","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","PILAS_TV_278000","PILAS_TV_278000","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","PABLO_JESUS_LUNA_GAVILAN_216025","PABLO_JESUS_LUNA_GAVILAN_216025","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","VIRSON_281000","VIRSON_281000","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","KTV_SNS_215068","KTV_SNS_215068","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","AZNALCAZAR_215054","AZNALCAZAR_215054","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TVCBLANCA_215002","TVCBLANCA_215002","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","POLARIS_215003","POLARIS_215003","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","BENEJUZAR_270000","BENEJUZAR_270000","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","ARAHAL_253000","ARAHAL_253000","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","REDVISION_228000_1","REDVISION_228000_1","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","ISP_TV_216111","ISP_TV_216111","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","AZNALCATV_215062","AZNALCATV_215062","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TELEREDOVAN_238000","TELEREDOVAN_238000","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TELECABLE_AROCHE","TELECABLE_AROCHE","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","YECLA_1","YECLA_1","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","YECLA_2","YECLA_2","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","CANAL2000_260000","CANAL2000_260000","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","ILORCI_285000","ILORCI_285000","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","YECLA_3","YECLA_3","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","PALMA DEL CONDADO_3","PALMA DEL CONDADO_3","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TELECONDADO","TELECONDADO","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","PALMA DEL CONDADO_1","PALMA DEL CONDADO_1","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","PALMA DEL CONDADO_2","PALMA DEL CONDADO_2","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","NOVELDA_4","NOVELDA_4","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","CABLEMEL_3","CABLEMEL_3","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","COTA_255000","COTA_255000","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TELEJUMILLA_225000_1","TELEJUMILLA_225000_1","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","CABLEMEL_2","CABLEMEL_2","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","CABLEMEL_4","CABLEMEL_4","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","NOVELDA_2","NOVELDA_2","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","NOVELDA_3","NOVELDA_3","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","CALASPARRA_252000","CALASPARRA_252000","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","NOVELDA_1","NOVELDA_1","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","PINEDA_MARTIN_DE_LA_JARA","PINEDA_MARTIN_DE_LA_JARA","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","PINEDA_PEDRERA","PINEDA_PEDRERA","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","AMG_215001_1","AMG_215001_1","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","AMG_215001_2","AMG_215001_2","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TELEVALENTIN","TELEVALENTIN","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","IBI","IBI","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","CARTAGOSAT_222000","CARTAGOSAT_222000","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TELEABARAN","TELEABARAN","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TRIGUEROS","TRIGUEROS","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TELECABLEMURCIA","TELECABLEMURCIA","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","DURCATEL","DURCATEL","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","PINOS_PUENTE","PINOS_PUENTE","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","CARAVACA","CARAVACA","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","CREVISION","CREVISION","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","PADUL_PARAVISA","PADUL_PARAVISA","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","Tomelloso","Tomelloso","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TELEPALMA_VALVERDE","TELEPALMA_VALVERDE","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","CBLCOM","CBLCOM","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","LA_RAYA","LA_RAYA","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","RODA_DE_ANDALUCIA","RODA_DE_ANDALUCIA","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","JAVALI_227000_1","JAVALI_227000_1","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","HNOS_PONCE","HNOS_PONCE","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","NETPORTS","NETPORTS","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","HERRERA","HERRERA","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","ANDALMEDIA","ANDALMEDIA","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","RUSCABLE","RUSCABLE","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","MORATALLA_283000","MORATALLA_283000","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","ELDA_289000_1","ELDA_289000_1","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","CALLOSA_267000","CALLOSA_267000","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","ELDA_289000_3","ELDA_289000_3","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","ELDA_289000_2","ELDA_289000_2","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","LA_MARINA","LA_MARINA","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","OLIVARES","OLIVARES","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","ALBATERA_243000","ALBATERA_243000","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","JAVALI_227000_2","JAVALI_227000_2","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TELERUTE","TELERUTE","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","Alea_2","Alea_2","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","Alea","Alea","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","Alea Test","Alea Test","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","AGUILAS","AGUILAS","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TELEJUMILLA_225000_2","TELEJUMILLA_225000_2","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","CABLEMEL_1","CABLEMEL_1","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","ANDEVALO","ANDEVALO","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","INGER_PEDROLA_2","INGER_PEDROLA_2","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","TELEJUMILLA_225000_3","TELEJUMILLA_225000_3","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","INGER_PEDROLA","INGER_PEDROLA","","","Pausado (pausado)","7"
"cableop Kamailio","cableop Kamailio","LA_MANGA_234000","LA_MANGA_234000","","","Pausado (pausado)","7"
"Cableoperadores prueba asterisk","Cableoperadores prueba asterisk","215023_TeleCaravaca_Server","215023_TeleCaravaca_Server","","","Disponible","3"
"Cableoperadores prueba asterisk","Cableoperadores prueba asterisk","215023_TeleCaravaca_Asterisk","215023_TeleCaravaca_Asterisk","","","Disponible","3"
"CADTECH IBERICA","CADTECH IBERICA","Cadtech_100M_334762 (CADTECH IBERICA) [Cisco Device]","Cadtech_100M_334762 (CADTECH IBERICA) [Cisco Device]","","","Disponible","3"
"CAMBRA SABADELL","CAMBRA SABADELL","330266_Cambra_Sabadell_PPAL","330266_Cambra_Sabadell_PPAL","","","Disponible","3"
"CAMBRA SABADELL","CAMBRA SABADELL","330266_Cambra_Sabadell_ BCK","330266_Cambra_Sabadell_ BCK","","","Disponible","3"
"CAMPING LAGOS COTO CISNEROS(COMPLEJO LA CIGÜEÑA)","CAMPING LAGOS COTO CISNEROS(COMPLEJO LA CIGÜEÑA)","F33839_Camping_Lagos_coto","F33839_Camping_Lagos_coto","","","Disponible","3"
"CARMELITAS MISIONERAS TERESIANAS","CARMELITAS MISIONERAS TERESIANAS","Antena_Cliente","Antena_Cliente","","","Disponible","3"
"CARMELITAS MISIONERAS TERESIANAS","CARMELITAS MISIONERAS TERESIANAS","335405_Carmelitas_Misioneras_Teresianas","335405_Carmelitas_Misioneras_Teresianas","","","Disponible","3"
"CARPIGIANI HORECA","CARPIGIANI HORECA","333249_Carpigiani_Horeca","333249_Carpigiani_Horeca","","","Disponible","3"
"CARRASCOY CT Abertis","CARRASCOY CT Abertis","AGW_Murcia_CARRASCOY","AGW_Murcia_CARRASCOY","","","Disponible","3"
"CARRASCOY CT Abertis","CARRASCOY CT Abertis","216298 – Airebullas (Carrascoy)","216298 – Airebullas (Carrascoy)","","","Pausado (pausado)","7"
"CARRASCOY CT Abertis","CARRASCOY CT Abertis","201012_Racomur Difusion","201012_Racomur Difusion","","","Pausado (pausado)","7"
"CARRASCOY CT Abertis","CARRASCOY CT Abertis","700126_Digitalia","700126_Digitalia","","","Disponible","3"
"CARRIER HOUSE","CARRIER HOUSE","SWI_sp_mad_C16","SWI_sp_mad_C16","","","Pausado (pausado por )","7"
"CARRIER HOUSE","CARRIER HOUSE","SWI_sp_mad_C15","SWI_sp_mad_C15","","","Pausado (pausado)","7"
