"Grupo","Grupo(RAW)","Aparato","Aparato(RAW)","Sensor","Sensor(RAW)","Estado","Estado(RAW)"
"1-7E18Q_BUFETE MAS Y CALVET SRLP","1-7E18Q_BUFETE MAS Y CALVET SRLP","139.47.139.33_FTTH_Madrid","139.47.139.33_FTTH_Madrid","","","Disponible","3"
"1-8K7KV_ESIC SACERD CORAZON JESUS PADRES REPAR","1-8K7KV_ESIC SACERD CORAZON JESUS PADRES REPAR","1-8K7KV_ESIC_Zaragoza_FTTH300","1-8K7KV_ESIC_Zaragoza_FTTH300","","","Disponible","3"
"1-8K7KV_ESIC SACERD CORAZON JESUS PADRES REPAR","1-8K7KV_ESIC SACERD CORAZON JESUS PADRES REPAR","1-8K7KV_ESIC_Sevilla_FTTH300","1-8K7KV_ESIC_Sevilla_FTTH300","","","Disponible","3"
"1-A0NEL_SACH CONSULTING & SERVICIOS S.L.","1-A0NEL_SACH CONSULTING & SERVICIOS S.L.","1-A0NEL_SACH(Alicante)","1-A0NEL_SACH(Alicante)","","","Disponible","3"
"1-B00S2_CARTONAJES BARCO S.A.","1-B00S2_CARTONAJES BARCO S.A.","1-B00S2_CARTONAJES_FTTH100","1-B00S2_CARTONAJES_FTTH100","","","Disponible","3"
"1-B00S2_CARTONAJES BARCO S.A.","1-B00S2_CARTONAJES BARCO S.A.","1-B00S2_CARTONAJES_LTE30","1-B00S2_CARTONAJES_LTE30","","","Disponible","3"
"1-B00S2_CARTONAJES BARCO S.A.","1-B00S2_CARTONAJES BARCO S.A.","1-B00S2_CARTONAJES_SUBREDPUBLICA","1-B00S2_CARTONAJES_SUBREDPUBLICA","","","Disponible","3"
"1-B2ENW_MICROMOUSE S.L.","1-B2ENW_MICROMOUSE S.L.","MICROMOUSE S.L._FTTH_VELAZQUEZ","MICROMOUSE S.L._FTTH_VELAZQUEZ","","","Disponible","3"
"200955 Grupo K Telecomunicaciones S.L (Garbera)","200955 Grupo K Telecomunicaciones S.L (Garbera)","200955 Grupo K CPE Garbera","200955 Grupo K CPE Garbera","","","Disponible","3"
"200955 Grupo K Telecomunicaciones S.L (Garbera)","200955 Grupo K Telecomunicaciones S.L (Garbera)","Antena cliente","Antena cliente","","","Disponible","3"
"200955 Grupo K Telecomunicaciones S.L (Hondarribia)","200955 Grupo K Telecomunicaciones S.L (Hondarribia)","Antena cliente","Antena cliente","","","Disponible","3"
"200955 Grupo K Telecomunicaciones S.L (Hondarribia)","200955 Grupo K Telecomunicaciones S.L (Hondarribia)","200955 Grupo K CPE Hondarribia","200955 Grupo K CPE Hondarribia","","","Disponible","3"
"215005 Canal TV notificaciones","215005 Canal TV notificaciones","Canal TV Interfaz para cliente","Canal TV Interfaz para cliente","","","Disponible","3"
"215005 Canal TV notificaciones","215005 Canal TV notificaciones","Canal TV circuito troncal principal","Canal TV circuito troncal principal","","","Disponible","3"
"215005 Canal TV notificaciones","215005 Canal TV notificaciones","Canal TV circuito troncal backup","Canal TV circuito troncal backup","","","Disponible","3"
"216009 TVC Pinos Puente","216009 TVC Pinos Puente","Pinospuente","Pinospuente","","","Disponible","3"
"216022 Comunicaciones Ronda notificaciones","216022 Comunicaciones Ronda notificaciones","216022 Comunicaciones Ronda circuito troncal","216022 Comunicaciones Ronda circuito troncal","","","Disponible","3"
"216023 Video Cadena Sur","216023 Video Cadena Sur","Video Cadena Sur circuito troncal","Video Cadena Sur circuito troncal","","","Disponible","3"
"216023 Video Cadena Sur","216023 Video Cadena Sur","Video Cadena Sur interfaz Para cliente","Video Cadena Sur interfaz Para cliente","","","Disponible","3"
"216037 Digital Herrera","216037 Digital Herrera","sw216037_Digital_Herrera (216037_Digital_Herrera_Switch) [Cisco IOS Cisco Device]","sw216037_Digital_Herrera (216037_Digital_Herrera_Switch) [Cisco IOS Cisco Device]","","","Disponible","3"
"216037 Digital Herrera","216037 Digital Herrera","216037_Rou_Digital_Herrera_Becerrero","216037_Rou_Digital_Herrera_Becerrero","","","Disponible","3"
"216085 Cablevision Digital Murciana notificaciones","216085 Cablevision Digital Murciana notificaciones","Cablevision Digital Murciana (AGW)","Cablevision Digital Murciana (AGW)","","","Disponible","3"
"216085 Cablevision Digital Murciana notificaciones","216085 Cablevision Digital Murciana notificaciones","Cablevisión Digital Murciana (Mikrotik)","Cablevisión Digital Murciana (Mikrotik)","","","Disponible","3"
"216162 Viso Vision SL Baza notificaciones","216162 Viso Vision SL Baza notificaciones","Viso Vision Circuito troncal principal","Viso Vision Circuito troncal principal","","","Disponible","3"
"216175 Telecom Cehegin notificaciones","216175 Telecom Cehegin notificaciones","Telecom Cehegin circuito troncal principal","Telecom Cehegin circuito troncal principal","","","Disponible","3"
"216195 Vegacom notificaciones","216195 Vegacom notificaciones","Vegacom circuito troncal backup","Vegacom circuito troncal backup","","","Disponible","3"
"216195 Vegacom notificaciones","216195 Vegacom notificaciones","Vegacom Interfaz para Cliente","Vegacom Interfaz para Cliente","","","Disponible","3"
"216195 Vegacom notificaciones","216195 Vegacom notificaciones","Vegacom circuito troncal principal","Vegacom circuito troncal principal","","","Pausado (pausado)","7"
"216220 Dvblab notificaciones","216220 Dvblab notificaciones","Dvblab circuito troncal principal","Dvblab circuito troncal principal","","","Disponible","3"
"216220_Dvblab","216220_Dvblab","swi_216220","swi_216220","","","Disponible","3"
"216220_Dvblab","216220_Dvblab","216220_Dvblab_CPE","216220_Dvblab_CPE","","","Disponible","3"
"216220_Dvblab","216220_Dvblab","216220_Dvblab","216220_Dvblab","","","Disponible","3"
"216300_Infor_Game_Brenes","216300_Infor_Game_Brenes","InforGame_216300","InforGame_216300","","","Disponible","3"
"216300_Infor_Game_Brenes","216300_Infor_Game_Brenes","Radio SAF Valencina","Radio SAF Valencina","","","Disponible","3"
"216300_Infor_Game_Brenes","216300_Infor_Game_Brenes","Radio SAF Brenes","Radio SAF Brenes","","","Disponible","3"
"216314 Digital Herrera","216314 Digital Herrera","216314_swi","216314_swi","","","Disponible","3"
"216314 Digital Herrera","216314 Digital Herrera","216314_DigitalHerrera_Estepa","216314_DigitalHerrera_Estepa","","","Disponible","3"
"216335 Wireless Teleco","216335 Wireless Teleco","216335_Cpe_Bckp_vl3455","216335_Cpe_Bckp_vl3455","","","Pausado (pausado)","7"
"216335 Wireless Teleco","216335 Wireless Teleco","216335_Cpe_Ppal_vl3454","216335_Cpe_Ppal_vl3454","","","Disponible","3"
"216493 NOLIMIT NETWORKS","216493 NOLIMIT NETWORKS","216493 Nolimit Networks","216493 Nolimit Networks","","","Disponible","3"
"223000_Coria TV Notificaciones","223000_Coria TV Notificaciones","CoriaTV Circuito troncal ppal","CoriaTV Circuito troncal ppal","","","Disponible","3"
"223000_Coria TV Notificaciones","223000_Coria TV Notificaciones","CoriaTV Interfaz para cliente","CoriaTV Interfaz para cliente","","","Disponible","3"
"223000_Coria_Bckp","223000_Coria_Bckp","223000_coriatv_bckp","223000_coriatv_bckp","","","Disponible","3"
"223000_Coria_Bckp","223000_Coria_Bckp","223000_swi_bckp","223000_swi_bckp","","","Disponible","3"
"223000_Coria_Bckp","223000_Coria_Bckp","CE Valencina - Coria","CE Valencina - Coria","","","Disponible","3"
"223000_Coria_Bckp","223000_Coria_Bckp","Coria - CE Valencina","Coria - CE Valencina","","","Disponible","3"
"227000 Javali notificaciones","227000 Javali notificaciones","T92 Circuito troncal principal","T92 Circuito troncal principal","","","Disponible","3"
"227000 Javali notificaciones","227000 Javali notificaciones","T92 Interfaz para cliente","T92 Interfaz para cliente","","","Disponible","3"
"260000 Canal 2000 La Solana","260000 Canal 2000 La Solana","sw260000-La_Solana","sw260000-La_Solana","","","Disponible","3"
"260000 Canal 2000 La Solana","260000 Canal 2000 La Solana","Juniper Mi7 Router BGP de Cliente","Juniper Mi7 Router BGP de Cliente","","","Disponible","3"
"265000 Zarandona notificaciones","265000 Zarandona notificaciones","Zarandona TV circuito troncal backup","Zarandona TV circuito troncal backup","","","Disponible","3"
"265000 Zarandona notificaciones","265000 Zarandona notificaciones","Zarandona TV circuito troncal principal","Zarandona TV circuito troncal principal","","","Disponible","3"
"265000 Zarandona notificaciones","265000 Zarandona notificaciones","Zarandona TV Interfaz para cliente","Zarandona TV Interfaz para cliente","","","Disponible","3"
"270000 Benejuzar notificaciones","270000 Benejuzar notificaciones","Benejuzar circuito troncal","Benejuzar circuito troncal","","","Disponible","3"
"270000 Benejuzar notificaciones","270000 Benejuzar notificaciones","Benejuzar interfaz para cliente","Benejuzar interfaz para cliente","","","Disponible","3"
"270000 Benejuzar notificaciones","270000 Benejuzar notificaciones","Benejuzar circuito backup","Benejuzar circuito backup","","","Disponible","3"
"278000 Television Pilas Notificaciones","278000 Television Pilas Notificaciones","Television Pilas Circuito troncal bckp","Television Pilas Circuito troncal bckp","","","Disponible","3"
"278000 Television Pilas Notificaciones","278000 Television Pilas Notificaciones","Television Pilas Circuito troncal ppal","Television Pilas Circuito troncal ppal","","","Disponible","3"
"282000 La Raya notificaciones","282000 La Raya notificaciones","282000 La Raya circuito troncal","282000 La Raya circuito troncal","","","Disponible","3"
"332670_SERVICAD SERVICIOS Y CAD SL","332670_SERVICAD SERVICIOS Y CAD SL","139.47.139.28_FTTH_Burgos","139.47.139.28_FTTH_Burgos","","","Disponible","3"
"332748 WispEurope notificaciones","332748 WispEurope notificaciones","WispEurope circuito troncal principal","WispEurope circuito troncal principal","","","Pausado (pausado)","7"
"332870_ITA CLINIC BCN S.L.","332870_ITA CLINIC BCN S.L.","212.230.121.180_FTTH_Avenir","212.230.121.180_FTTH_Avenir","","","Disponible","3"
"332870_ITA CLINIC BCN S.L.","332870_ITA CLINIC BCN S.L.","139.47.139.20_FTTH_Urgell","139.47.139.20_FTTH_Urgell","","","Disponible","3"
"332870_ITA CLINIC BCN S.L.","332870_ITA CLINIC BCN S.L.","212.230.121.181_FTTH_Baro","212.230.121.181_FTTH_Baro","","","Disponible","3"
"332870_ITA CLINIC BCN S.L.","332870_ITA CLINIC BCN S.L.","139.47.139.19_FTTH_Angli","139.47.139.19_FTTH_Angli","","","Disponible","3"
"332870_ITA CLINIC BCN S.L.","332870_ITA CLINIC BCN S.L.","212.230.121.182_FTTH_Cires","212.230.121.182_FTTH_Cires","","","Disponible","3"
"333447_Raytheon_España_S.A.","333447_Raytheon_España_S.A.","Raytheon_FTTH300_Barcelona","Raytheon_FTTH300_Barcelona","","","Disponible","3"
"333634_REPRESENTACIONES EUROMAHER S.L.","333634_REPRESENTACIONES EUROMAHER S.L.","333634_REPR_EUROMAHER(VITORIA)","333634_REPR_EUROMAHER(VITORIA)","","","Disponible","3"
"333844 Mas Lejano notificaciones","333844 Mas Lejano notificaciones","Mas Lejano Circuito troncal principal","Mas Lejano Circuito troncal principal","","","Disponible","3"
"334722_GRUPO POSTA 2004 SL","334722_GRUPO POSTA 2004 SL","GRUPO_POSTA_Vitoria","GRUPO_POSTA_Vitoria","","","Disponible","3"
"335013_GUALBI, S.L.","335013_GUALBI, S.L.","GUALBI_DURANGO_FTTH","GUALBI_DURANGO_FTTH","","","Disponible","3"
"335951 TECNICOS EN TASACION","335951 TECNICOS EN TASACION","TEcnicos_Tasacion_1","TEcnicos_Tasacion_1","","","Disponible","3"
"335951 TECNICOS EN TASACION","335951 TECNICOS EN TASACION","Tecnicos_Tasacion_2","Tecnicos_Tasacion_2","","","Disponible","3"
"337145 Siemens Site Housing Axion Valencina","337145 Siemens Site Housing Axion Valencina","r337145_Siemens-CEX-Val","r337145_Siemens-CEX-Val","","","Disponible","3"
"337145 Siemens Site Of. Sevilla Este","337145 Siemens Site Of. Sevilla Este","(Siemens Sevilla - CEX Valencina)","(Siemens Sevilla - CEX Valencina)","","","Disponible","3"
"337145 Siemens Site Of. Sevilla Este","337145 Siemens Site Of. Sevilla Este","(CEX Valencina - Siemens Sevilla)","(CEX Valencina - Siemens Sevilla)","","","Disponible","3"
"337145 Siemens Site Of. Sevilla Este","337145 Siemens Site Of. Sevilla Este","r337145_Sev-Adsl","r337145_Sev-Adsl","","","Disponible","3"
"337145 Siemens Site Of. Sevilla Este","337145 Siemens Site Of. Sevilla Este","rou337145_Siemens (HSRP)","rou337145_Siemens (HSRP)","","","Pausado","8"
"337145 Siemens Site Of. Sevilla Este","337145 Siemens Site Of. Sevilla Este","sw337145_Siemens","sw337145_Siemens","","","Pausado","8"
"339214_Rafael La Fuente Sanchez","339214_Rafael La Fuente Sanchez","FTTH_139.47.139.17_Arrasate","FTTH_139.47.139.17_Arrasate","","","Disponible","3"
"Academia Preuniversitaria SL","Academia Preuniversitaria SL","Mikrotik Academia Preuniversitaria SL","Mikrotik Academia Preuniversitaria SL","","","Disponible","3"
"Academia Preuniversitaria SL","Academia Preuniversitaria SL","Antena Academia Preuniversitaria SL","Antena Academia Preuniversitaria SL","","","Disponible","3"
"Accesos fibra","Accesos fibra","AGW_MURCIA_01","AGW_MURCIA_01","","","Disponible","3"
"Accesos fibra","Accesos fibra","IGMP_TEST_MUR (PC Pruebas IGMP Murcia)","IGMP_TEST_MUR (PC Pruebas IGMP Murcia)","","","Pausado","8"
"Accesos fibra","Accesos fibra","SWI_IGMP_01","SWI_IGMP_01","","","Disponible","3"
"Accesos fibra","Accesos fibra","265000_ZarandonaTv_BCKP","265000_ZarandonaTv_BCKP","","","Disponible","3"
"ACEROS LST BARCELONA","ACEROS LST BARCELONA","339331 Aceros LST Barcelona","339331 Aceros LST Barcelona","","","Disponible","3"
"ACTIVA GESTION INTEGRAL DE CLIENTES","ACTIVA GESTION INTEGRAL DE CLIENTES","rou_Activa_Servinform.yourdomain.com (rou_Activa_Backup(tambien Servinform)) [Cisco IOS Cisco Device]","rou_Activa_Servinform.yourdomain.com (rou_Activa_Backup(tambien Servinform)) [Cisco IOS Cisco Device]","","","Disponible","3"
"ACTIVIDADES LOGISTICAS CENTRALIZADAS, S.L","ACTIVIDADES LOGISTICAS CENTRALIZADAS, S.L","338711_Actividades_Logisticas_Centralizadas","338711_Actividades_Logisticas_Centralizadas","","","Disponible","3"
"ACTREN MANTENIMIENTO FERROVIARIO S.A","ACTREN MANTENIMIENTO FERROVIARIO S.A","1-7V4FW_Actren_Mantenimiento_Ferroviario","1-7V4FW_Actren_Mantenimiento_Ferroviario","","","Disponible","3"
"ADERLINKT MANAGEMENT CONSULTING. S.L.","ADERLINKT MANAGEMENT CONSULTING. S.L.","FTTH_ADERLINKT_MANAGEMENT_CONSULTING","FTTH_ADERLINKT_MANAGEMENT_CONSULTING","","","Disponible","3"
"AGUSTÍN QUEREJETA EIZAGUIRRE","AGUSTÍN QUEREJETA EIZAGUIRRE","F43230_AGUSTÍN_QUEREJETA_EIZAGUIRRE","F43230_AGUSTÍN_QUEREJETA_EIZAGUIRRE","","","Disponible","3"
"AIM SPAIN EVENTS & DMC SL","AIM SPAIN EVENTS & DMC SL","F42827_AIM_SPAIN_EVENTS_&_DMC","F42827_AIM_SPAIN_EVENTS_&_DMC","","","Disponible","3"
"AIMAR IRIGOIEN JAUREGUI","AIMAR IRIGOIEN JAUREGUI","Router_213.195.87.84","Router_213.195.87.84","","","Disponible","3"
"AIQON","AIQON","334723 AIQON bckp adsl","334723 AIQON bckp adsl","","","Disponible","3"
"AIQON","AIQON","334723 AIQON 10 Mbps","334723 AIQON 10 Mbps","","","Disponible","3"
"AIREBULLAS CT Monte Atalayas","AIREBULLAS CT Monte Atalayas","r216298_Airebullas","r216298_Airebullas","","","Disponible","3"
"AIREBULLAS CT Monte Atalayas","AIREBULLAS CT Monte Atalayas","Radio - CE Ricote - Airebullas","Radio - CE Ricote - Airebullas","","","Disponible","3"
"AIREBULLAS CT Monte Atalayas","AIREBULLAS CT Monte Atalayas","Radio Airebullas - CE Ricote","Radio Airebullas - CE Ricote","","","Disponible","3"
"AIREBULLAS CT Monte Atalayas","AIREBULLAS CT Monte Atalayas","s216298_Airebullas","s216298_Airebullas","","","Disponible","3"
"AIREBULLAS FIBRA","AIREBULLAS FIBRA","Swi_Airebullas_Fibra","Swi_Airebullas_Fibra","","","Disponible","3"
"AIRWIFI","AIRWIFI","sw216394_Airwifi (Device 3) [Cisco IOS Cisco Device]","sw216394_Airwifi (Device 3) [Cisco IOS Cisco Device]","","","Disponible","3"
"AIRWIFI","AIRWIFI","ADI 500Mb Interxion - 216394 Airwifi","ADI 500Mb Interxion - 216394 Airwifi","","","Pausado","8"
"AITOR LORENZO APEZTEGUIA","AITOR LORENZO APEZTEGUIA","F43179_AITOR_LORENZO_APEZTEGUIA","F43179_AITOR_LORENZO_APEZTEGUIA","","","Disponible","3"
"AITOR MEDIAVILLA ARZA","AITOR MEDIAVILLA ARZA","338739_Aitor Mediavilla_CPE","338739_Aitor Mediavilla_CPE","","","Disponible","3"
"ALALZA","ALALZA","Alalza_Sandiego (Alalza_Madrid_San_Diego FTTH BT 300/300) [Cisco IOS Cisco Device]","Alalza_Sandiego (Alalza_Madrid_San_Diego FTTH BT 300/300) [Cisco IOS Cisco Device]","","","Disponible","3"
"ALALZA","ALALZA","alalza_Barcelona FTTH BT muns65696201f 30/30M","alalza_Barcelona FTTH BT muns65696201f 30/30M","","","Disponible","3"
"ALALZA","ALALZA","Alalza_SanDiego_Residencial (Alalza_SanDiego_FTTH 300M_(Residencial)) [Cisco IOS Cisco Device]","Alalza_SanDiego_Residencial (Alalza_SanDiego_FTTH 300M_(Residencial)) [Cisco IOS Cisco Device]","","","Disponible","3"
"ALBA MACREL","ALBA MACREL","331364_Alba_Marcel_Sede1_10M_SARENET","331364_Alba_Marcel_Sede1_10M_SARENET","","","Pausado","8"
"ALBA MACREL","ALBA MACREL","331364_Alba_Marcel_Sede3","331364_Alba_Marcel_Sede3","","","Disponible","3"
"ALBA MACREL","ALBA MACREL","331364_Alba_Macrel_Sede3_Voip","331364_Alba_Macrel_Sede3_Voip","","","Disponible","3"
"ALBA MACREL","ALBA MACREL","331364_AlbaMacrel_Voz_Ppal","331364_AlbaMacrel_Voz_Ppal","","","Disponible","3"
"ALBERTIA SERV SOCIOSANITARIOS SA","ALBERTIA SERV SOCIOSANITARIOS SA","1-APRZY_ALBERTIA SERV SOCIOSANITARIOS SA (Azuqueca de Henares))","1-APRZY_ALBERTIA SERV SOCIOSANITARIOS SA (Azuqueca de Henares))","","","Disponible","3"
"Albox - 216503 Digital Albox / 216475 Nevada Networks","Albox - 216503 Digital Albox / 216475 Nevada Networks","R_Albox_2.5Gb","R_Albox_2.5Gb","","","Disponible","3"
"ALCORT INGIENERIA Y ASESORIA","ALCORT INGIENERIA Y ASESORIA","C333810_ALCORT","C333810_ALCORT","","","Disponible","3"
"ALFATEC SISTEMAS S.L","ALFATEC SISTEMAS S.L","87.124.169.14_Alfatec_Sistemas","87.124.169.14_Alfatec_Sistemas","","","Disponible","3"
"ALFATEC SISTEMAS S.L","ALFATEC SISTEMAS S.L","87.124.169.13_Alfatec_Sistemas","87.124.169.13_Alfatec_Sistemas","","","Disponible","3"
"ALN TELEMARKETING","ALN TELEMARKETING","325006_ALN_Telemarketing [Cisco IOS Cisco Device]","325006_ALN_Telemarketing [Cisco IOS Cisco Device]","","","Pausado","8"
"AMARA","AMARA","AMARA","AMARA","","","Disponible","3"
"ANA MARIA - EL CORONIL","ANA MARIA - EL CORONIL","CE Gibalbin - El Coronil","CE Gibalbin - El Coronil","","","Disponible","3"
"ANA MARIA - EL CORONIL","ANA MARIA - EL CORONIL","El Coronil - CE Gibalbin","El Coronil - CE Gibalbin","","","Disponible","3"
"ANA MARIA - EL CORONIL","ANA MARIA - EL CORONIL","rou_215051_El_Coronil_Ana_Maria","rou_215051_El_Coronil_Ana_Maria","","","Disponible","3"
"ANA MARIA - EL CORONIL","ANA MARIA - EL CORONIL","sw215051_El_Coronil","sw215051_El_Coronil","","","Disponible","3"
"ANDINA TELCO, S.L.","ANDINA TELCO, S.L.","F33724_Andina_Telco","F33724_Andina_Telco","","","Disponible","3"
"ANDRITZ HYDRO","ANDRITZ HYDRO","CPD Ibercom - Andritz Hydro","CPD Ibercom - Andritz Hydro","","","Disponible","3"
"ANDRITZ HYDRO","ANDRITZ HYDRO","Andritz Hydro - CPD Ibercom","Andritz Hydro - CPD Ibercom","","","Disponible","3"
"ANDRITZ HYDRO","ANDRITZ HYDRO","1-4MGWW_Andritz_CPE","1-4MGWW_Andritz_CPE","","","Disponible","3"
"ANE ITXASO URANGA ROJO","ANE ITXASO URANGA ROJO","10.69.245.90_Antena","10.69.245.90_Antena","","","Disponible","3"
"ANE ITXASO URANGA ROJO","ANE ITXASO URANGA ROJO","213.195.87.70_Router","213.195.87.70_Router","","","Disponible","3"
"Antonio Castaño","Antonio Castaño","rou_215085_Antonio_Castano_La_Campana","rou_215085_Antonio_Castano_La_Campana","","","Disponible","3"
"Antonio Castaño","Antonio Castaño","CE Carmona - La Campana","CE Carmona - La Campana","","","Disponible","3"
"Antonio Castaño","Antonio Castaño","La Campana - CE Carmona","La Campana - CE Carmona","","","Disponible","3"
"Antonio Castaño","Antonio Castaño","rou_215085_Antonio_Castano_La_Campana_BGP_Backup_Malaga","rou_215085_Antonio_Castano_La_Campana_BGP_Backup_Malaga","","","Disponible","3"
"AÑAR LORAZAINTZA","AÑAR LORAZAINTZA","Router_213.195.87.81","Router_213.195.87.81","","","Disponible","3"
"APLICACIONES PRACTICAS ELECTRONICAS","APLICACIONES PRACTICAS ELECTRONICAS","308342_CPE","308342_CPE","","","Disponible","3"
"APOLO LOGISTICA","APOLO LOGISTICA","702290_Apolo_Logistica","702290_Apolo_Logistica","","","Disponible","3"
"APOLO LOGISTICA GRUPO ALFA, S.L.","APOLO LOGISTICA GRUPO ALFA, S.L.","702290_87.124.169.55","702290_87.124.169.55","","","Disponible","3"
"ARIN ETXEGINTZA","ARIN ETXEGINTZA","337869_Arin_Etxegintza","337869_Arin_Etxegintza","","","Disponible","3"
"ARIN ETXEGINTZA","ARIN ETXEGINTZA","Antena cliente","Antena cliente","","","Disponible","3"
"ARVA INTERNACIONAL EXHIBITIONS SL","ARVA INTERNACIONAL EXHIBITIONS SL","87.124.169.18 (F39731_Arva_International_Exhibitions) [Webserver]","87.124.169.18 (F39731_Arva_International_Exhibitions) [Webserver]","","","Disponible","3"
"ASK 4 SPAIN LIMITED","ASK 4 SPAIN LIMITED","338435 ASK 4 SPAIN LIMITED (Isaac Peral)","338435 ASK 4 SPAIN LIMITED (Isaac Peral)","","","Disponible","3"
"ASK 4 SPAIN LIMITED","ASK 4 SPAIN LIMITED","338435 ASK 4 SPAIN LIMITED (San Bernardo)","338435 ASK 4 SPAIN LIMITED (San Bernardo)","","","Disponible","3"
"ASK 4 SPAIN LIMITED","ASK 4 SPAIN LIMITED","338435 SK 4 SPAIN LIMITED (Pamplona)","338435 SK 4 SPAIN LIMITED (Pamplona)","","","Disponible","3"
"ASL FITNESS","ASL FITNESS","ASL_50M_329648 (329648_ASL_FITNESS) [Cisco IOS ADSL Cisco Device]","ASL_50M_329648 (329648_ASL_FITNESS) [Cisco IOS ADSL Cisco Device]","","","Disponible","3"
"ASOCIACIÓN DOMUS","ASOCIACIÓN DOMUS","335495_Asoc.Domus","335495_Asoc.Domus","","","Pausado","8"
"ASOCIACIÓN DOMUS","ASOCIACIÓN DOMUS","Asociacion Domus ADSL BACKUP","Asociacion Domus ADSL BACKUP","","","Disponible","3"
"ASOCIACION EDUCATIVA HAURKABI","ASOCIACION EDUCATIVA HAURKABI","330847_HAURKABI (330847_Asociacion_Educativa_Haurkabi) [Cisco IOS Cisco Device]","330847_HAURKABI (330847_Asociacion_Educativa_Haurkabi) [Cisco IOS Cisco Device]","","","Disponible","3"
"ASOCIACION ESPAÑOLA DE FABRICANTES DE JUGUETES","ASOCIACION ESPAÑOLA DE FABRICANTES DE JUGUETES","62.43.189.220.static.user.ono.com (329534 ASOCIACION ESPAÑOLA DE FABRICANTES DE JUGUETES)","62.43.189.220.static.user.ono.com (329534 ASOCIACION ESPAÑOLA DE FABRICANTES DE JUGUETES)","","","Disponible","3"
"ASOCIACION ESPAÑOLA DE FABRICANTES DE JUGUETES","ASOCIACION ESPAÑOLA DE FABRICANTES DE JUGUETES","ASOCIACION ESPAÑOLA DE FABRICANTES DE JUGUETES ADSL","ASOCIACION ESPAÑOLA DE FABRICANTES DE JUGUETES ADSL","","","Disponible","3"
"ASOCIACION PARA LA REINSERCION SOCIAL ERROAK","ASOCIACION PARA LA REINSERCION SOCIAL ERROAK","ERROAK_AMARA (ERROAK_FTTH_10M) [Cisco Device]","ERROAK_AMARA (ERROAK_FTTH_10M) [Cisco Device]","","","Disponible","3"
"ASOCIACION PARA LA REINSERCION SOCIAL ERROAK","ASOCIACION PARA LA REINSERCION SOCIAL ERROAK","ERROAK_SARTU_10M_Sarenet (ERROAK_UBARBURU(FTTH_10M_SARENET)_334608) [Cisco IOS Cisco Device]","ERROAK_SARTU_10M_Sarenet (ERROAK_UBARBURU(FTTH_10M_SARENET)_334608) [Cisco IOS Cisco Device]","","","Disponible","3"
"ASOCIACION PARA LA REINSERCION SOCIAL ERROAK","ASOCIACION PARA LA REINSERCION SOCIAL ERROAK","ERROAK_Martutene 334608 FTTH","ERROAK_Martutene 334608 FTTH","","","Disponible","3"
"ATARA S COOP PEQUEÑA","ATARA S COOP PEQUEÑA","CPE_Atara","CPE_Atara","","","Pausado","8"
"AUSTRO FINANCIAL SERVICES","AUSTRO FINANCIAL SERVICES","Austro_Lorca Cisco ADSL","Austro_Lorca Cisco ADSL","","","Pausado","8"
"AUSTRO FINANCIAL SERVICES","AUSTRO FINANCIAL SERVICES","AUSTRO_Bravo_Murillo 321186","AUSTRO_Bravo_Murillo 321186","","","Disponible","3"
"AUSTRO FINANCIAL SERVICES","AUSTRO FINANCIAL SERVICES","321186_Austrogiros_Murcia","321186_Austrogiros_Murcia","","","Pausado","8"
"AUTO ELIA","AUTO ELIA","AUTOELIA_ARITIO68_FTTH","AUTOELIA_ARITIO68_FTTH","","","Disponible","3"
"AUTO ELIA","AUTO ELIA","AUTOELIA_SINESIO_FTTH","AUTOELIA_SINESIO_FTTH","","","Disponible","3"
"AUTO ELIA","AUTO ELIA","Auto_Elia_Madrid_1 (Francisco Madariaga)","Auto_Elia_Madrid_1 (Francisco Madariaga)","","","Disponible","3"
"AUTO ELIA","AUTO ELIA","AUTOELIA_EnriqueLarretaSEGOVIA (Segovia_ADSL) [Cisco IOS Cisco Device]","AUTOELIA_EnriqueLarretaSEGOVIA (Segovia_ADSL) [Cisco IOS Cisco Device]","","","Disponible","3"
"AUTO ELIA","AUTO ELIA","Auto_Elia_Guadalajara_ADSL","Auto_Elia_Guadalajara_ADSL","","","Pausado","8"
"AUTO ELIA","AUTO ELIA","AUTOELIA_AlcalaMadrid (C/ALCALA_ADSL) [Cisco IOS ADSL Cisco Device]","AUTOELIA_AlcalaMadrid (C/ALCALA_ADSL) [Cisco IOS ADSL Cisco Device]","","","Pausado","8"
"AUTO ELIA","AUTO ELIA","AUTOELIA_AritioGUADALAJARA (C/Fco. Aritio_Guadalajara_ADSL) [Cisco Device]","AUTOELIA_AritioGUADALAJARA (C/Fco. Aritio_Guadalajara_ADSL) [Cisco Device]","","","Pausado","8"
"AUTO ELIA","AUTO ELIA","AUTOELIA_ALCALA467_FTTH","AUTOELIA_ALCALA467_FTTH","","","Disponible","3"
"AUTO ELIA","AUTO ELIA","AUTOELIA_ARITIO41_FTTH","AUTOELIA_ARITIO41_FTTH","","","Disponible","3"
"AUTO ELIA","AUTO ELIA","AUTOELIA_Calidon","AUTOELIA_Calidon","","","Pausado (pausado)","7"
"AUTO ELIA","AUTO ELIA","AUTOELIA_Alcala_de_Henares [Cisco Device]","AUTOELIA_Alcala_de_Henares [Cisco Device]","","","Disponible","3"
